,crim,indus,chas,nox,rm,dis,tax,ptratio,lstat,medv
73,0.19539,10.81,0,0.413,6.245,5.2873,305,19.2,7.54,23.4
74,0.07896,12.83,0,0.437,6.273,4.2515,398,18.7,6.78,24.1
75,0.09512,12.83,0,0.437,6.286,4.5026,398,18.7,8.94,21.4
76,0.10153,12.83,0,0.437,6.279,4.0522,398,18.7,11.97,20.0
77,0.08707,12.83,0,0.437,6.14,4.0905,398,18.7,10.27,20.8
78,0.05646,12.83,0,0.437,6.232,5.0141,398,18.7,12.34,21.2
79,0.08387,12.83,0,0.437,5.874,4.5026,398,18.7,9.1,20.3
80,0.04113,4.86,0,0.426,6.727,5.4007,281,19.0,5.29,28.0
81,0.04462,4.86,0,0.426,6.619,5.4007,281,19.0,7.22,23.9
82,0.03659,4.86,0,0.426,6.302,5.4007,281,19.0,6.72,24.8
83,0.03551,4.86,0,0.426,6.167,5.4007,281,19.0,7.51,22.9
84,0.05059,4.49,0,0.449,6.389,4.7794,247,18.5,9.62,23.9
85,0.05735,4.49,0,0.449,6.63,4.4377,247,18.5,6.53,26.6
86,0.05188,4.49,0,0.449,6.015,4.4272,247,18.5,12.86,22.5
87,0.07151,4.49,0,0.449,6.121,3.7476,247,18.5,8.44,22.2
88,0.0566,3.41,0,0.489,7.007,3.4217,270,17.8,5.5,23.6
89,0.05302,3.41,0,0.489,7.079,3.4145,270,17.8,5.7,28.7
90,0.04684,3.41,0,0.489,6.417,3.0923,270,17.8,8.81,22.6
91,0.03932,3.41,0,0.489,6.405,3.0921,270,17.8,8.2,22.0
92,0.04203,15.04,0,0.464,6.442,3.6659,270,18.2,8.16,22.9
93,0.02875,15.04,0,0.464,6.211,3.6659,270,18.2,6.21,25.0
94,0.04294,15.04,0,0.464,6.249,3.615,270,18.2,10.59,20.6
95,0.12204,2.89,0,0.445,6.625,3.4952,276,18.0,6.65,28.4
96,0.11504,2.89,0,0.445,6.163,3.4952,276,18.0,11.34,21.4
97,0.12083,2.89,0,0.445,8.069,3.4952,276,18.0,4.21,38.7
98,0.08187,2.89,0,0.445,7.82,3.4952,276,18.0,3.57,43.8
99,0.0686,2.89,0,0.445,7.416,3.4952,276,18.0,6.19,33.2
100,0.14866,8.56,0,0.52,6.727,2.7778,384,20.9,9.42,27.5
101,0.11432,8.56,0,0.52,6.781,2.8561,384,20.9,7.67,26.5
102,0.22876,8.56,0,0.52,6.405,2.7147,384,20.9,10.63,18.6
103,0.21161,8.56,0,0.52,6.137,2.7147,384,20.9,13.44,19.3
104,0.1396,8.56,0,0.52,6.167,2.421,384,20.9,12.33,20.1
105,0.13262,8.56,0,0.52,5.851,2.1069,384,20.9,16.47,19.5
106,0.1712,8.56,0,0.52,5.836,2.211,384,20.9,18.66,19.5
107,0.13117,8.56,0,0.52,6.127,2.1224,384,20.9,14.09,20.4
108,0.12802,8.56,0,0.52,6.474,2.4329,384,20.9,12.27,19.8
109,0.26363,8.56,0,0.52,6.229,2.5451,384,20.9,15.55,19.4
110,0.10793,8.56,0,0.52,6.195,2.7778,384,20.9,13.0,21.7
111,0.10084,10.01,0,0.547,6.715,2.6775,432,17.8,10.16,22.8
112,0.12329,10.01,0,0.547,5.913,2.3534,432,17.8,16.21,18.8
113,0.22212,10.01,0,0.547,6.092,2.548,432,17.8,17.09,18.7
114,0.14231,10.01,0,0.547,6.254,2.2565,432,17.8,10.45,18.5
115,0.17134,10.01,0,0.547,5.928,2.4631,432,17.8,15.76,18.3
116,0.13158,10.01,0,0.547,6.176,2.7301,432,17.8,12.04,21.2
117,0.15098,10.01,0,0.547,6.021,2.7474,432,17.8,10.3,19.2
118,0.13058,10.01,0,0.547,5.872,2.4775,432,17.8,15.37,20.4
119,0.14476,10.01,0,0.547,5.731,2.7592,432,17.8,13.61,19.3
120,0.06899,25.65,0,0.581,5.87,2.2577,188,19.1,14.37,22.0
121,0.07165,25.65,0,0.581,6.004,2.1974,188,19.1,14.27,20.3
122,0.09299,25.65,0,0.581,5.961,2.0869,188,19.1,17.93,20.5
123,0.15038,25.65,0,0.581,5.856,1.9444,188,19.1,25.41,17.3
124,0.09849,25.65,0,0.581,5.879,2.0063,188,19.1,17.58,18.8
125,0.16902,25.65,0,0.581,5.986,1.9929,188,19.1,14.81,21.4
126,0.38735,25.65,0,0.581,5.613,1.7572,188,19.1,27.26,15.7
127,0.25915,21.89,0,0.624,5.693,1.7883,437,21.2,17.19,16.2
128,0.32543,21.89,0,0.624,6.431,1.8125,437,21.2,15.39,18.0
129,0.88125,21.89,0,0.624,5.637,1.9799,437,21.2,18.34,14.3
130,0.34006,21.89,0,0.624,6.458,2.1185,437,21.2,12.6,19.2
131,1.19294,21.89,0,0.624,6.326,2.271,437,21.2,12.26,19.6
132,0.59005,21.89,0,0.624,6.372,2.3274,437,21.2,11.12,23.0
133,0.32982,21.89,0,0.624,5.822,2.4699,437,21.2,15.03,18.4
134,0.97617,21.89,0,0.624,5.757,2.346,437,21.2,17.31,15.6
135,0.55778,21.89,0,0.624,6.335,2.1107,437,21.2,16.96,18.1
136,0.32264,21.89,0,0.624,5.942,1.9669,437,21.2,16.9,17.4
137,0.35233,21.89,0,0.624,6.454,1.8498,437,21.2,14.59,17.1
138,0.2498,21.89,0,0.624,5.857,1.6686,437,21.2,21.32,13.3
139,0.54452,21.89,0,0.624,6.151,1.6687,437,21.2,18.46,17.8
140,0.2909,21.89,0,0.624,6.174,1.6119,437,21.2,24.16,14.0
141,1.62864,21.89,0,0.624,5.019,1.4394,437,21.2,34.41,14.4
142,3.32105,19.58,1,0.871,5.403,1.3216,403,14.7,26.82,13.4
143,4.0974,19.58,0,0.871,5.468,1.4118,403,14.7,26.42,15.6
144,2.77974,19.58,0,0.871,4.903,1.3459,403,14.7,29.29,11.8
145,2.37934,19.58,0,0.871,6.13,1.4191,403,14.7,27.8,13.8
146,2.15505,19.58,0,0.871,5.628,1.5166,403,14.7,16.65,15.6
147,2.36862,19.58,0,0.871,4.926,1.4608,403,14.7,29.53,14.6
148,2.33099,19.58,0,0.871,5.186,1.5296,403,14.7,28.32,17.8
149,2.73397,19.58,0,0.871,5.597,1.5257,403,14.7,21.45,15.4
150,1.6566,19.58,0,0.871,6.122,1.618,403,14.7,14.1,21.5
151,1.49632,19.58,0,0.871,5.404,1.5916,403,14.7,13.28,19.6
152,1.12658,19.58,1,0.871,5.012,1.6102,403,14.7,12.12,15.3
153,2.14918,19.58,0,0.871,5.709,1.6232,403,14.7,15.79,19.4
154,1.41385,19.58,1,0.871,6.129,1.7494,403,14.7,15.12,17.0
155,3.53501,19.58,1,0.871,6.152,1.7455,403,14.7,15.02,15.6
156,2.44668,19.58,0,0.871,5.272,1.7364,403,14.7,16.14,13.1
157,1.22358,19.58,0,0.605,6.943,1.8773,403,14.7,4.59,41.3
158,1.34284,19.58,0,0.605,6.066,1.7573,403,14.7,6.43,24.3
159,1.42502,19.58,0,0.871,6.51,1.7659,403,14.7,7.39,23.3
160,1.27346,19.58,1,0.605,6.25,1.7984,403,14.7,5.5,27.0
161,1.46336,19.58,0,0.605,7.489,1.9709,403,14.7,1.73,50.0
162,1.83377,19.58,1,0.605,7.802,2.0407,403,14.7,1.92,50.0
163,1.51902,19.58,1,0.605,8.375,2.162,403,14.7,3.32,50.0
164,2.24236,19.58,0,0.605,5.854,2.422,403,14.7,11.64,22.7
165,2.924,19.58,0,0.605,6.101,2.2834,403,14.7,9.81,25.0
166,2.01019,19.58,0,0.605,7.929,2.0459,403,14.7,3.7,50.0
167,1.80028,19.58,0,0.605,5.877,2.4259,403,14.7,12.14,23.8
168,2.3004,19.58,0,0.605,6.319,2.1,403,14.7,11.1,23.8
169,2.44953,19.58,0,0.605,6.402,2.2625,403,14.7,11.32,22.3
170,1.20742,19.58,0,0.605,5.875,2.4259,403,14.7,14.43,17.4
171,2.3139,19.58,0,0.605,5.88,2.3887,403,14.7,12.03,19.1
172,0.13914,4.05,0,0.51,5.572,2.5961,296,16.6,14.69,23.1
173,0.09178,4.05,0,0.51,6.416,2.6463,296,16.6,9.04,23.6
174,0.08447,4.05,0,0.51,5.859,2.7019,296,16.6,9.64,22.6
175,0.06664,4.05,0,0.51,6.546,3.1323,296,16.6,5.33,29.4
176,0.07022,4.05,0,0.51,6.02,3.5549,296,16.6,10.11,23.2
177,0.05425,4.05,0,0.51,6.315,3.3175,296,16.6,6.29,24.6
178,0.06642,4.05,0,0.51,6.86,2.9153,296,16.6,6.92,29.9
179,0.0578,2.46,0,0.488,6.98,2.829,193,17.8,5.04,37.2
180,0.06588,2.46,0,0.488,7.765,2.741,193,17.8,7.56,39.8
181,0.06888,2.46,0,0.488,6.144,2.5979,193,17.8,9.45,36.2
182,0.09103,2.46,0,0.488,7.155,2.7006,193,17.8,4.82,37.9
183,0.10008,2.46,0,0.488,6.563,2.847,193,17.8,5.68,32.5
184,0.08308,2.46,0,0.488,5.604,2.9879,193,17.8,13.98,26.4
185,0.06047,2.46,0,0.488,6.153,3.2797,193,17.8,13.15,29.6
186,0.05602,2.46,0,0.488,7.831,3.1992,193,17.8,4.45,50.0
187,0.07875,3.44,0,0.437,6.782,3.7886,398,15.2,6.68,32.0
188,0.12579,3.44,0,0.437,6.556,4.5667,398,15.2,4.56,29.8
189,0.0837,3.44,0,0.437,7.185,4.5667,398,15.2,5.39,34.9
190,0.09068,3.44,0,0.437,6.951,6.4798,398,15.2,5.1,37.0
191,0.06911,3.44,0,0.437,6.739,6.4798,398,15.2,4.69,30.5
192,0.08664,3.44,0,0.437,7.178,6.4798,398,15.2,2.87,36.4
193,0.02187,2.93,0,0.401,6.8,6.2196,265,15.6,5.03,31.1
194,0.01439,2.93,0,0.401,6.604,6.2196,265,15.6,4.38,29.1
195,0.01381,0.46,0,0.422,7.875,5.6484,255,14.4,2.97,50.0
196,0.04011,1.52,0,0.404,7.287,7.309,329,12.6,4.08,33.3
197,0.04666,1.52,0,0.404,7.107,7.309,329,12.6,8.61,30.3
198,0.03768,1.52,0,0.404,7.274,7.309,329,12.6,6.62,34.6
199,0.0315,1.47,0,0.403,6.975,7.6534,402,17.0,4.56,34.9
200,0.01778,1.47,0,0.403,7.135,7.6534,402,17.0,4.45,32.9
201,0.03445,2.03,0,0.415,6.162,6.27,348,14.7,7.43,24.1
202,0.02177,2.03,0,0.415,7.61,6.27,348,14.7,3.11,42.3
203,0.0351,2.68,0,0.4161,7.853,5.118,224,14.7,3.81,48.5
204,0.02009,2.68,0,0.4161,8.034,5.118,224,14.7,2.88,50.0
205,0.13642,10.59,0,0.489,5.891,3.9454,277,18.6,10.87,22.6
206,0.22969,10.59,0,0.489,6.326,4.3549,277,18.6,10.97,24.4
207,0.25199,10.59,0,0.489,5.783,4.3549,277,18.6,18.06,22.5
208,0.13587,10.59,1,0.489,6.064,4.2392,277,18.6,14.66,24.4
209,0.43571,10.59,1,0.489,5.344,3.875,277,18.6,23.09,20.0
210,0.17446,10.59,1,0.489,5.96,3.8771,277,18.6,17.27,21.7
211,0.37578,10.59,1,0.489,5.404,3.665,277,18.6,23.98,19.3
212,0.21719,10.59,1,0.489,5.807,3.6526,277,18.6,16.03,22.4
213,0.14052,10.59,0,0.489,6.375,3.9454,277,18.6,9.38,28.1
214,0.28955,10.59,0,0.489,5.412,3.5875,277,18.6,29.55,23.7
215,0.19802,10.59,0,0.489,6.182,3.9454,277,18.6,9.47,25.0
216,0.0456,13.89,1,0.55,5.888,3.1121,276,16.4,13.51,23.3
217,0.07013,13.89,0,0.55,6.642,3.4211,276,16.4,9.69,28.7
218,0.11069,13.89,1,0.55,5.951,2.8893,276,16.4,17.92,21.5
219,0.11425,13.89,1,0.55,6.373,3.3633,276,16.4,10.5,23.0
220,0.35809,6.2,1,0.507,6.951,2.8617,307,17.4,9.71,26.7
221,0.40771,6.2,1,0.507,6.164,3.048,307,17.4,21.46,21.7
222,0.62356,6.2,1,0.507,6.879,3.2721,307,17.4,9.93,27.5
223,0.6147,6.2,0,0.507,6.618,3.2721,307,17.4,7.6,30.1
224,0.31533,6.2,0,0.504,8.266,2.8944,307,17.4,4.14,44.8
225,0.52693,6.2,0,0.504,8.725,2.8944,307,17.4,4.63,50.0
226,0.38214,6.2,0,0.504,8.04,3.2157,307,17.4,3.13,37.6
227,0.41238,6.2,0,0.504,7.163,3.2157,307,17.4,6.36,31.6
228,0.29819,6.2,0,0.504,7.686,3.3751,307,17.4,3.92,46.7
229,0.44178,6.2,0,0.504,6.552,3.3751,307,17.4,3.76,31.5
230,0.537,6.2,0,0.504,5.981,3.6715,307,17.4,11.65,24.3
231,0.46296,6.2,0,0.504,7.412,3.6715,307,17.4,5.25,31.7
232,0.57529,6.2,0,0.507,8.337,3.8384,307,17.4,2.47,41.7
233,0.33147,6.2,0,0.507,8.247,3.6519,307,17.4,3.95,48.3
234,0.44791,6.2,1,0.507,6.726,3.6519,307,17.4,8.05,29.0
235,0.33045,6.2,0,0.507,6.086,3.6519,307,17.4,10.88,24.0
236,0.52058,6.2,1,0.507,6.631,4.148,307,17.4,9.54,25.1
237,0.51183,6.2,0,0.507,7.358,4.148,307,17.4,4.73,31.5
238,0.08244,4.93,0,0.428,6.481,6.1899,300,16.6,6.36,23.7
239,0.09252,4.93,0,0.428,6.606,6.1899,300,16.6,7.37,23.3
240,0.11329,4.93,0,0.428,6.897,6.3361,300,16.6,11.38,22.0
241,0.10612,4.93,0,0.428,6.095,6.3361,300,16.6,12.4,20.1
242,0.1029,4.93,0,0.428,6.358,7.0355,300,16.6,11.22,22.2
243,0.12757,4.93,0,0.428,6.393,7.0355,300,16.6,5.19,23.7
244,0.20608,5.86,0,0.431,5.593,7.9549,330,19.1,12.5,17.6
245,0.19133,5.86,0,0.431,5.605,7.9549,330,19.1,18.46,18.5
246,0.33983,5.86,0,0.431,6.108,8.0555,330,19.1,9.16,24.3
247,0.19657,5.86,0,0.431,6.226,8.0555,330,19.1,10.15,20.5
248,0.16439,5.86,0,0.431,6.433,7.8265,330,19.1,9.52,24.5
249,0.19073,5.86,0,0.431,6.718,7.8265,330,19.1,6.56,26.2
250,0.1403,5.86,0,0.431,6.487,7.3967,330,19.1,5.9,24.4
251,0.21409,5.86,0,0.431,6.438,7.3967,330,19.1,3.59,24.8
252,0.08221,5.86,0,0.431,6.957,8.9067,330,19.1,3.53,29.6
253,0.36894,5.86,0,0.431,8.259,8.9067,330,19.1,3.54,42.8
254,0.04819,3.64,0,0.392,6.108,9.2203,315,16.4,6.57,21.9
255,0.03548,3.64,0,0.392,5.876,9.2203,315,16.4,9.25,20.9
256,0.01538,3.75,0,0.394,7.454,6.3361,244,15.9,3.11,44.0
257,0.61154,3.97,0,0.647,8.704,1.801,264,13.0,5.12,50.0
258,0.66351,3.97,0,0.647,7.333,1.8946,264,13.0,7.79,36.0
259,0.65665,3.97,0,0.647,6.842,2.0107,264,13.0,6.9,30.1
260,0.54011,3.97,0,0.647,7.203,2.1121,264,13.0,9.59,33.8
261,0.53412,3.97,0,0.647,7.52,2.1398,264,13.0,7.26,43.1
262,0.52014,3.97,0,0.647,8.398,2.2885,264,13.0,5.91,48.8
263,0.82526,3.97,0,0.647,7.327,2.0788,264,13.0,11.25,31.0
264,0.55007,3.97,0,0.647,7.206,1.9301,264,13.0,8.1,36.5
265,0.76162,3.97,0,0.647,5.56,1.9865,264,13.0,10.45,22.8
266,0.7857,3.97,0,0.647,7.014,2.1329,264,13.0,14.79,30.7
267,0.57834,3.97,0,0.575,8.297,2.4216,264,13.0,7.44,50.0
268,0.5405,3.97,0,0.575,7.47,2.872,264,13.0,3.16,43.5
269,0.09065,6.96,1,0.464,5.92,3.9175,223,18.6,13.65,20.7
270,0.29916,6.96,0,0.464,5.856,4.429,223,18.6,13.0,21.1
271,0.16211,6.96,0,0.464,6.24,4.429,223,18.6,6.59,25.2
272,0.1146,6.96,0,0.464,6.538,3.9175,223,18.6,7.73,24.4
273,0.22188,6.96,1,0.464,7.691,4.3665,223,18.6,6.58,35.2
274,0.05644,6.41,1,0.447,6.758,4.0776,254,17.6,3.53,32.4
275,0.09604,6.41,0,0.447,6.854,4.2673,254,17.6,2.98,32.0
276,0.10469,6.41,1,0.447,7.267,4.7872,254,17.6,6.05,33.2
277,0.06127,6.41,1,0.447,6.826,4.8628,254,17.6,4.16,33.1
278,0.07978,6.41,0,0.447,6.482,4.1403,254,17.6,7.19,29.1
279,0.21038,3.33,0,0.4429,6.812,4.1007,216,14.9,4.85,35.1
280,0.03578,3.33,0,0.4429,7.82,4.6947,216,14.9,3.76,45.4
281,0.03705,3.33,0,0.4429,6.968,5.2447,216,14.9,4.59,35.4
282,0.06129,3.33,1,0.4429,7.645,5.2119,216,14.9,3.01,46.0
283,0.01501,1.21,1,0.401,7.923,5.885,198,13.6,3.16,50.0
284,0.00906,2.97,0,0.4,7.088,7.3073,285,15.3,7.85,32.2
285,0.01096,2.25,0,0.389,6.453,7.3073,300,15.3,8.23,22.0
286,0.01965,1.76,0,0.385,6.23,9.0892,241,18.2,12.93,20.1
287,0.03871,5.32,0,0.405,6.209,7.3172,293,16.6,7.14,23.2
288,0.0459,5.32,0,0.405,6.315,7.3172,293,16.6,7.6,22.3
289,0.04297,5.32,0,0.405,6.565,7.3172,293,16.6,9.51,24.8
290,0.03502,4.95,0,0.411,6.861,5.1167,245,19.2,3.33,28.5
291,0.07886,4.95,0,0.411,7.148,5.1167,245,19.2,3.56,37.3
292,0.03615,4.95,0,0.411,6.63,5.1167,245,19.2,4.7,27.9
293,0.08265,13.92,0,0.437,6.127,5.5027,289,16.0,8.58,23.9
294,0.08199,13.92,0,0.437,6.009,5.5027,289,16.0,10.4,21.7
295,0.12932,13.92,0,0.437,6.678,5.9604,289,16.0,6.27,28.6
296,0.05372,13.92,0,0.437,6.549,5.9604,289,16.0,7.39,27.1
297,0.14103,13.92,0,0.437,5.79,6.32,289,16.0,15.84,20.3
298,0.06466,2.24,0,0.4,6.345,7.8278,358,14.8,4.97,22.5
299,0.05561,2.24,0,0.4,7.041,7.8278,358,14.8,4.74,29.0
300,0.04417,2.24,0,0.4,6.871,7.8278,358,14.8,6.07,24.8
301,0.03537,6.09,0,0.433,6.59,5.4917,329,16.1,9.5,22.0
302,0.09266,6.09,0,0.433,6.495,5.4917,329,16.1,8.67,26.4
303,0.1,6.09,0,0.433,6.982,5.4917,329,16.1,4.86,33.1
304,0.05515,2.18,0,0.472,7.236,4.022,222,18.4,6.93,36.1
305,0.05479,2.18,0,0.472,6.616,3.37,222,18.4,8.93,28.4
306,0.07503,2.18,0,0.472,7.42,3.0992,222,18.4,6.47,33.4
307,0.04932,2.18,0,0.472,6.849,3.1827,222,18.4,7.53,28.2
308,0.49298,9.9,0,0.544,6.635,3.3175,304,18.4,4.54,22.8
309,0.3494,9.9,0,0.544,5.972,3.1025,304,18.4,9.97,20.3
310,2.63548,9.9,0,0.544,4.973,2.5194,304,18.4,12.64,16.1
311,0.79041,9.9,0,0.544,6.122,2.6403,304,18.4,5.98,22.1
312,0.26169,9.9,0,0.544,6.023,2.834,304,18.4,11.72,19.4
313,0.26938,9.9,0,0.544,6.266,3.2628,304,18.4,7.9,21.6
314,0.3692,9.9,0,0.544,6.567,3.6023,304,18.4,9.28,23.8
315,0.25356,9.9,0,0.544,5.705,3.945,304,18.4,11.5,16.2
316,0.31827,9.9,0,0.544,5.914,3.9986,304,18.4,18.33,17.8
317,0.24522,9.9,0,0.544,5.782,4.0317,304,18.4,15.94,19.8
318,0.40202,9.9,0,0.544,6.382,3.5325,304,18.4,10.36,23.1
319,0.47547,9.9,0,0.544,6.113,4.0019,304,18.4,12.73,21.0
320,0.1676,7.38,0,0.493,6.426,4.5404,287,19.6,7.2,23.8
321,0.18159,7.38,0,0.493,6.376,4.5404,287,19.6,6.87,23.1
322,0.35114,7.38,0,0.493,6.041,4.7211,287,19.6,7.7,20.4
323,0.28392,7.38,0,0.493,5.708,4.7211,287,19.6,11.74,18.5
324,0.34109,7.38,0,0.493,6.415,4.7211,287,19.6,6.12,25.0
325,0.19186,7.38,0,0.493,6.431,5.4159,287,19.6,5.08,24.6
326,0.30347,7.38,0,0.493,6.312,5.4159,287,19.6,6.15,23.0
327,0.24103,7.38,0,0.493,6.083,5.4159,287,19.6,12.79,22.2
328,0.06617,3.24,0,0.46,5.868,5.2146,430,16.9,9.97,19.3
329,0.06724,3.24,0,0.46,6.333,5.2146,430,16.9,7.34,22.6
330,0.04544,3.24,0,0.46,6.144,5.8736,430,16.9,9.09,19.8
331,0.05023,6.06,0,0.4379,5.706,6.6407,304,16.9,12.43,17.1
332,0.03466,6.06,0,0.4379,6.031,6.6407,304,16.9,7.83,19.4
333,0.05083,5.19,0,0.515,6.316,6.4584,224,20.2,5.68,22.2
334,0.03738,5.19,0,0.515,6.31,6.4584,224,20.2,6.75,20.7
335,0.03961,5.19,0,0.515,6.037,5.9853,224,20.2,8.01,21.1
336,0.03427,5.19,0,0.515,5.869,5.2311,224,20.2,9.8,19.5
337,0.03041,5.19,0,0.515,5.895,5.615,224,20.2,10.56,18.5
338,0.03306,5.19,0,0.515,6.059,4.8122,224,20.2,8.51,20.6
339,0.05497,5.19,0,0.515,5.985,4.8122,224,20.2,9.74,19.0
340,0.06151,5.19,0,0.515,5.968,4.8122,224,20.2,9.29,18.7
341,0.01301,1.52,0,0.442,7.241,7.0379,284,15.5,5.49,32.7
342,0.02498,1.89,0,0.518,6.54,6.2669,422,15.9,8.65,16.5
343,0.02543,3.78,0,0.484,6.696,5.7321,370,17.6,7.18,23.9
344,0.03049,3.78,0,0.484,6.874,6.4654,370,17.6,4.61,31.2
345,0.03113,4.39,0,0.442,6.014,8.0136,352,18.8,10.53,17.5
346,0.06162,4.39,0,0.442,5.898,8.0136,352,18.8,12.67,17.2
347,0.0187,4.15,0,0.429,6.516,8.5353,351,17.9,6.36,23.1
348,0.01501,2.01,0,0.435,6.635,8.344,280,17.0,5.99,24.5
